conflict_id,dyad_id,location,side_a,side_a_id,side_a_2nd,side_b,side_b_id,side_b_2nd,incompatibility,territory_name,year,intensity_level,type_of_conflict,start_date,start_prec,start_date2,start_prec2,gwno_a,gwno_a_2nd,gwno_b,gwno_b_2nd,gwno_loc,region,best_fatality_estimate,version,bilateral_dummy,mediation_dummy,peace_effort_dummy,agreement_dummy,active,low,none,,,,,,
405,858,"Cameroon, Nigeria",Government of Cameroon,83,,Government of Nigeria,84,,1,Bakassi,1994,1,2,18.02.1994,1,07.05.1996,3,471,,475,,"471, 475",4,13,20.1,0,1,1,0,0,1,0,,,,,,
405,858,"Cameroon, Nigeria",Government of Cameroon,83,,Government of Nigeria,84,,1,Bakassi,1996,1,2,18.02.1994,1,07.05.1996,3,471,,475,,"471, 475",4,56,20.1,0,1,1,0,1,0,0,,,,,,
405,858,"Cameroon, Nigeria",Government of Cameroon,83,,Government of Nigeria,84,,1,Bakassi,1998,1,2,18.02.1994,1,07.05.1996,3,471,,475,,"471, 475",4,1,20.1,0,0,0,0,0,1,0,,,,,,
405,858,"Cameroon, Nigeria",Government of Cameroon,83,,Government of Nigeria,84,,1,Bakassi,2005,1,2,18.02.1994,1,07.05.1996,3,471,,475,,"471, 475",4,0,20.1,0,0,0,0,0,0,1,,,,,,
409,865,"Eritrea, Ethiopia",Government of Eritrea,98,,Government of Ethiopia,97,,1,Common border,1998,2,2,06.05.1998,1,31.05.1998,2,531,,530,,"530, 531",4,1000,20.1,0,1,1,0,1,0,0,,,,,,
409,865,"Eritrea, Ethiopia",Government of Eritrea,98,,Government of Ethiopia,97,,1,Common border,1999,2,2,06.05.1998,1,31.05.1998,2,531,,530,,"530, 531",4,47192,20.1,0,1,1,0,1,0,0,,,,,,
409,865,"Eritrea, Ethiopia",Government of Eritrea,98,,Government of Ethiopia,97,,1,Common border,2000,2,2,06.05.1998,1,31.05.1998,2,531,,530,,"530, 531",4,50000,20.1,0,1,1,1,1,0,0,,,,,,
435,902,"Djibouti, Eritrea",Government of Djibouti,96,,Government of Eritrea,98,,1,Common border,2008,1,2,10.06.2008,1,11.06.2008,2,522,,531,,"522, 531",4,35,20.1,0,0,0,0,1,0,0,,,,,,
11348,11989,"South Sudan, Sudan",Government of South Sudan,113,,Government of Sudan,112,,1,Common border,2012,1,2,27.03.2012,1,27.03.2012,1,626,,625,,"625, 626",4,367,20.1,0,1,1,1,1,0,0,,,,,,
11348,11989,"South Sudan, Sudan",Government of South Sudan,113,,Government of Sudan,112,,1,Common border,2013,1,2,27.03.2012,1,27.03.2012,1,626,,625,,"625, 626",4,1,20.1,1,1,1,0,0,1,0,,,,,,
11348,11989,"South Sudan, Sudan",Government of South Sudan,113,,Government of Sudan,112,,1,Common border,2014,1,2,27.03.2012,1,27.03.2012,1,626,,625,,"625, 626",4,0,20.1,1,0,1,0,0,0,1,,,,,,
409,865,"Eritrea, Ethiopia",Government of Eritrea,98,,Government of Ethiopia,97,,1,Common border,2016,1,2,06.05.1998,1,13.06.2016,2,531,,530,,"530, 531",4,25,20.1,0,0,0,0,1,0,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,